filename,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,label
student_marks,1,0.5712474046124933,0.9999843755380381,1,1.762096703745878,0.2617741510823108,0.7260659562633258,0.5038028923564545,0.41733457278037556,0.13355542076693647
student_marks,1,-1,1,1,-1,1,1,1,0.94225389,0.7356427663697785
neural_net,1,-1,1,1,-1,0.46578913478370004,0.907560417,0.8159356488134507,0.44419019826354667,0.079483843
neural_net,1,-1,1,1,-1,1,1,1,0.9075761300330587,0.1843463455814404
simple_regression_sample,1,-1,0.288446518,0.9999641873401082,-1,0.018980515605493388,0.7747309537955407,0.28267012650090945,-0.013093275,0.2732415873824073
simple_regression_sample,1,-1,1,0.9999847820109743,-1,1,1,1,-0.791121407,2.239610823296518
simple_regression_sample,1,-1,0.5796790113528244,0.9999855649121959,-1,0.009987234,0.7773466329262501,0.22118176955591198,-0.028530423,0.022175295751567927
marketing,1,-1,1,1,-1,1,1,1,0.7820300203008931,0.34388089540257244
marketing,1,-1,1,0.9999999999968445,-1,0.7282102198606876,0.9545456950179481,0.8488010557174994,0.6029180163242247,0.16387952842659564
marketing,1,-1,0.9992366200412511,1,-1,0.022850215,0.5101294204830099,0.12677632094026828,0.25498697803482306,-0.000969741
startup_multiple_linear_regression,1,-1,1,0.9999753173621933,-1,1,1,1,0.972900466,0.12607184032007027
startup_multiple_linear_regression,1,-1,0.8377826052964132,0.817661737,-1,0.020294862,0.7503869070062678,0.6350715156361059,0.2007165682687213,0
startup_multiple_linear_regression,1,-1,0.9999999995618927,0.9999989363051051,-1,0.08982043,0.8934372607807604,0.8373423053789724,0.7477657217414766,0.027026489
startup_multiple_linear_regression,0,0.5751333217972338,0.9998330506701267,0.9999142820122155,1.0982095403531893,0.001006807,0,0,0.5078129827021098,0
dummy_marketing_and_sales_data,1,-1,1,1,-1,1,1,1,0.9976181240068134,0.8033213458774136
dummy_marketing_and_sales_data,1,-1,1,1,-1,0.014131640111757875,0.6767717887832146,0.22453726883804015,0.8683099669448748,0.010808866
dummy_marketing_and_sales_data,1,-1,1,1,-1,0.001380779,0.5880188379174597,0.051531184,0.5285845867290052,0.000890132
dummy_marketing_and_sales_data,0,0.5088373661545051,0.7919488491923468,0.553667494,1.386221228820459,0.00135038,0.5250347634251551,0.020604465950632398,-0.018634559,0.000160135
best_regression_model,1,-1,1,1,-1,0.7550518198219501,0.7874196250215438,0.5326354574848737,0.8441067318678672,0.048624823
best_regression_model,1,-1,1,1,-1,0.13957766848370678,0.8041603096622615,0.3027482050228309,-0.413502158,0.018427961
best_regression_model,1,-1,1,1,-1,0.2272297891528172,0.766398489,0.2892931110699245,-0.312187282,0.013622284909180878
best_regression_model,1,-1,1,1,-1,1,1,1,-0.86978031,0.1285231785424427
number_of_upvotes,0,0.5284812061647561,1,0.33294296102466325,0.083543053,0.03939188,0.8660026386437407,0.3144229899757548,0.038682049,-5.81E+13
number_of_upvotes,1,-1,1,1,-1,0.5651270585177977,1,0.9998675125477878,0.2667103645157649,6814855917379898.0
number_of_upvotes,1,-1,1,1,-1,0.081923975,0.9344724065567621,0.5390796216196675,0.2020331667202604,206095518941615.28
number_of_upvotes,1,-1,1,1,-1,1,0.9763467041952592,1,0.43733557651542077,3009500634679307.0
USA_housing,1,-1,1,1,-1,1,1,1,0.6397337782571285,0.18514741806395202
USA_housing,1,-1,1,1,-1,0.7140743085724491,0.9819166531318668,0.9733109380982496,0.45254253717857873,0.11585600223331378
USA_housing,1,-1,1,1,-1,0.527717602,0.9647344099003583,0.9453493694334139,0.33566445335939754,0.068914731
USA_housing,1,-1,1,1,-1,0.008860521,0.8656297704398719,0.7058438281501679,0.17107102765605364,-1.28E-05
USA_housing,1,-1,1,1,-1,0.6560489751506055,0.9762439051948343,0.9647959860327728,0.4085558793209314,0.10100973470920278
fifa,1,-1,1,1,-1,0.5737344075233368,0.8607782391705637,0.5392729540283089,0.30811823460927723,0.027976409
fifa,1,-1,0.9999999999556436,1,-1,0.034705393273092314,0.6530598778726739,0.086353876,0.048997825,0.001339602
fifa,1,-1,1,1,-1,0.001079031,0.616244098,0.055355127,0.09992015,0.000418417
fifa,1,-1,1,1,-1,1,1,1,0.5091050381343568,0.081849883
fifa,1,-1,1,1,-1,0.071476137,0.7179729712848792,0.18563989776236017,-0.162098324,0.00337883
airfoil_self_noise,1,-1,1,1,-1,1,0.9916855895408752,1,-0.390711412,0.047025581465458544
airfoil_self_noise,1,-1,0.9999999988304518,1,-1,0.617196298,0.8064860767817441,0.2345273898392684,-0.156107529,0.006248985
airfoil_self_noise,1,0.6457822747906068,1,1,1.7541634258473542,0.8256198843859689,0.8837118212109389,0.5780493856387066,-0.236161512,0.017068788120408893
airfoil_self_noise,1,0.6388754217210126,0.9999988562572557,1,1.327654429281826,0.3845140216434269,0.7974157522977827,0.4501389197487663,0.12510280076198455,0.007499745
airfoil_self_noise,1,-1,1,1,-1,0.4795499425971516,1,0.854565,-0.312669506,0.034470325
medical_cost_personal,1,-1,1,1,-1,0.3777792054402391,0.9376111326290195,0.9058302518020802,0.29900819333064765,0.5711013258686631
medical_cost_personal,0,0.5205634542745418,0.6829669061654017,0.20741024213888304,0.693092438,0.034102337,0.8038850384712334,0.591242423,0.027374463,0.004993245
medical_cost_personal,1,-1,0.9999999999997541,1,-1,0.21076734682919576,0.9542186015501252,0.8616443881257896,0.19834096883362884,0.075432182
medical_cost_personal,1,0.5367463184644475,0.9871478714798532,1,1.3984434283490517,0.056622377,0.8581513124643788,0.7484923796921784,0.067998227,0.083502849
medical_cost_personal,0,0.5205634542745418,1,0.15965649594098752,0.5069623513566166,1,1,1,0.782576465,0.8830641138999495
